Date,Close
3/2/2015,43.91
3/3/2015,44.76
3/4/2015,44.01
3/5/2015,43.85
3/6/2015,43.29
3/9/2015,41.93
3/10/2015,41.47
3/11/2015,42.21
3/12/2015,41.51
3/13/2015,41.5
3/16/2015,42.1
3/17/2015,42.15
3/18/2015,43.01
3/19/2015,42.69
3/20/2015,42.96
3/23/2015,42.85
3/24/2015,43.36
3/25/2015,44.14
3/26/2015,43.51
3/27/2015,43.59
3/30/2015,45.02
3/31/2015,45.11
4/1/2015,45.07
4/2/2015,46.06
4/6/2015,45.84
4/7/2015,45.84
4/8/2015,45.39
4/9/2015,46.33
4/10/2015,46.08
4/13/2015,45.31
4/14/2015,46.05
4/15/2015,47.86
4/16/2015,47.48
4/17/2015,47.56
4/20/2015,47.14
4/21/2015,47.05
4/22/2015,47.52
4/23/2015,47.65
4/24/2015,47.13
4/27/2015,46.86
4/28/2015,47.61
4/29/2015,48.66
4/30/2015,48.96
5/1/2015,48.98
5/4/2015,48.82
5/5/2015,48.51
5/6/2015,48.24
5/7/2015,47.95
5/8/2015,49.45
5/11/2015,48.92
5/12/2015,50.05
5/13/2015,48.96
5/14/2015,49.43
5/15/2015,49.34
5/18/2015,48.73
5/19/2015,47.98
5/20/2015,47.92
5/21/2015,48.2
5/22/2015,48.13
5/26/2015,47.34
5/27/2015,47.68
5/28/2015,46.62
5/29/2015,46.31
6/1/2015,46.24
6/2/2015,46.3
6/3/2015,46.3
6/4/2015,45.71
6/5/2015,45.75
6/8/2015,45.75
6/9/2015,46.85
6/10/2015,46.69
6/11/2015,46.38
6/12/2015,45.9
6/15/2015,45.82
6/16/2015,46.07
6/17/2015,46.18
6/18/2015,44.94
6/19/2015,44.54
6/22/2015,44.73
6/23/2015,45.8
6/24/2015,45.69
6/25/2015,45.21
6/26/2015,44.63
6/29/2015,44.24
6/30/2015,44.28
7/1/2015,43.66
7/2/2015,43.63
7/6/2015,42.51
7/7/2015,42.73
7/8/2015,42
7/9/2015,42.21
7/10/2015,41.67
7/13/2015,42.26
7/14/2015,42.8
7/15/2015,41.55
7/16/2015,41.76
7/17/2015,40.96
7/20/2015,39.67
7/21/2015,40.01
7/22/2015,39.39
7/23/2015,41.52
7/24/2015,40.43
7/27/2015,41.23
7/28/2015,42.3
7/29/2015,42.33
7/30/2015,42.14
7/31/2015,41.83
8/3/2015,40.79
8/4/2015,40.66
8/5/2015,40.52
8/6/2015,41.27
8/7/2015,40.43
8/10/2015,41.75
8/11/2015,41.43
8/12/2015,42.83
8/13/2015,42.65
8/14/2015,42.59
8/17/2015,42.71
8/18/2015,42.26
8/19/2015,41.05
8/20/2015,40.4
8/21/2015,40.42
8/24/2015,38.61
8/25/2015,38.75
8/26/2015,40.47
8/27/2015,41.89
8/28/2015,42.3
8/31/2015,42.36
9/1/2015,41.08
9/2/2015,41.04
9/3/2015,40.86
9/4/2015,39.82
9/8/2015,40.73
9/9/2015,39.68
9/10/2015,39.74
9/11/2015,39.51
9/14/2015,39.18
9/15/2015,39.8
9/16/2015,40.58
9/17/2015,40.63
9/18/2015,40.14
9/21/2015,40.17
9/22/2015,39.66
9/23/2015,39.25
9/24/2015,38.6
9/25/2015,38.11
9/28/2015,36.56
9/29/2015,35.41
